"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\address_info_text_field.dart", "Dart", 41, 0, 5, 46
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\auth_pages\pin_code_fields.dart", "Dart", 33, 0, 3, 36
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\classic_long_button.dart", "Dart", 59, 0, 3, 62
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\classic_text_field.dart", "Dart", 142, 0, 11, 153
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\extra_ingredients_row.dart", "Dart", 79, 0, 5, 84
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\app_bar_restaurant_selection.dart", "Dart", 53, 2, 4, 59
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\cart_button.dart", "Dart", 26, 0, 4, 30
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\counter_button.dart", "Dart", 34, 0, 3, 37
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\custom_tab_box.dart", "Dart", 81, 0, 3, 84
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\food_energy_column.dart", "Dart", 33, 0, 3, 36
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\menu_item_card.dart", "Dart", 183, 0, 4, 187
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\more_icon.dart", "Dart", 45, 0, 4, 49
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\search_bottom_sheet.dart", "Dart", 122, 0, 9, 131
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\main_home_page\searching_dish_box.dart", "Dart", 127, 0, 4, 131
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\notification_card.dart", "Dart", 63, 0, 5, 68
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\order_info.dart", "Dart", 348, 0, 15, 363
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\price_info_sheet.dart", "Dart", 226, 0, 10, 236
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\project_selecting_box\project_box.dart", "Dart", 108, 2, 4, 114
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\restaurant_info_dialog.dart", "Dart", 71, 0, 3, 74
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\rounded_icon.dart", "Dart", 38, 0, 3, 41
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\user_cart_card.dart", "Dart", 260, 3, 14, 277
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\user_orders_box.dart", "Dart", 144, 47, 6, 197
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\common_ui\work_position_card.dart", "Dart", 82, 0, 4, 86
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\constants\color_palette.dart", "Dart", 10, 0, 2, 12
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\constants\db_tables_names.dart", "Dart", 2, 0, 1, 3
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\constants\extra_ingredients_list.dart", "Dart", 31, 0, 1, 32
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\constants\sized_box.dart", "Dart", 10, 0, 3, 13
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\constants\statuses.dart", "Dart", 143, 0, 7, 150
"c:\Users\Max\Desktop\PROGRAMMING\Flutter\Commercial Apps\papi_burgers\lib\controllers\login_controller.dart", "Dart", 52, 2, 8, 62
